"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
0,-5.10572215508496,0.102,0.891,0,"PTPRZ1","Downregulated in Tumor"
0,-5.24244887918073,0.057,0.842,0,"GPM6A","Downregulated in Tumor"
0,-5.09925678088149,0.106,0.89,0,"GAP43","Downregulated in Tumor"
0,-5.54786803791589,0.041,0.801,0,"CHL1","Downregulated in Tumor"
0,-4.22297497275192,0.098,0.855,0,"MEG3","Downregulated in Tumor"
0,-5.77029313276182,0.055,0.807,0,"TNC","Downregulated in Tumor"
0,-4.36083358905466,0.069,0.801,0,"NRCAM","Downregulated in Tumor"
0,-5.37680159504561,0.048,0.764,0,"EGFR","Downregulated in Tumor"
0,-3.68736750078739,0.146,0.851,0,"SPARCL1","Downregulated in Tumor"
0,-5.14205939427977,0.153,0.85,0,"FABP7","Downregulated in Tumor"
0,-5.15206323186564,0.073,0.766,0,"F3","Downregulated in Tumor"
0,-3.62549880574162,0.11,0.802,0,"C1R","Downregulated in Tumor"
0,-6.33785052090992,0.052,0.743,0,"AQP4","Downregulated in Tumor"
0,-3.4431180904341,0.117,0.803,0,"RCN1","Downregulated in Tumor"
0,-4.05555743473915,0.15,0.834,0,"ID4","Downregulated in Tumor"
0,-3.68924883525201,0.182,0.863,0,"ACTN1","Downregulated in Tumor"
0,-1.86048540182996,0.18,0.86,0,"IGFBP7","Downregulated in Tumor"
0,-3.43249277667015,0.189,0.865,0,"IGFBP2","Downregulated in Tumor"
0,-3.04922188175526,0.15,0.822,0,"CCN1","Downregulated in Tumor"
0,-5.56958819519242,0.074,0.743,0,"MGST1","Downregulated in Tumor"
0,-5.14983835776827,0.073,0.741,0,"TCIM","Downregulated in Tumor"
0,-4.63267161050051,0.132,0.791,0,"TMEM158","Downregulated in Tumor"
0,-4.05287735317448,0.074,0.732,0,"DPYSL3","Downregulated in Tumor"
0,-4.14104625319622,0.315,0.971,0,"CNN3","Downregulated in Tumor"
0,-3.58050948156977,0.121,0.763,0,"CHPT1","Downregulated in Tumor"
0,-4.26315396952698,0.06,0.692,0,"SOX9","Downregulated in Tumor"
0,-2.27141293453846,0.325,0.956,0,"CALD1","Downregulated in Tumor"
0,-5.46558448239044,0.063,0.691,0,"BCAN","Downregulated in Tumor"
0,-4.60615637920399,0.037,0.66,0,"PDLIM4","Downregulated in Tumor"
0,-4.8336246694697,0.293,0.913,0,"ITM2C","Downregulated in Tumor"
0,-6.48993119832033,0.128,0.748,0,"CHI3L2","Downregulated in Tumor"
0,-3.1099368845686,0.221,0.838,0,"INAFM1","Downregulated in Tumor"
0,-2.93896779193837,0.226,0.84,0,"FAM3C","Downregulated in Tumor"
0,-5.03976581326617,0.042,0.656,0,"OLFM2","Downregulated in Tumor"
0,-3.21291580037324,0.051,0.664,0,"C1S","Downregulated in Tumor"
0,-3.45838762619757,0.155,0.763,0,"DTNA","Downregulated in Tumor"
0,-3.61428475894149,0.11,0.717,0,"CPE","Downregulated in Tumor"
0,-4.50463474288979,0.059,0.662,0,"HEY1","Downregulated in Tumor"
0,-3.00694125762873,0.319,0.922,0,"NOVA1","Downregulated in Tumor"
0,-5.7415641757814,0.022,0.62,0,"DCLK1","Downregulated in Tumor"
0,-3.84574982961534,0.066,0.66,0,"AEBP1","Downregulated in Tumor"
0,-4.10634788860804,0.059,0.653,0,"FHL1","Downregulated in Tumor"
0,-3.61269098474923,0.143,0.732,0,"TRIM47","Downregulated in Tumor"
0,-6.23574141032429,0.032,0.614,0,"C1QL1","Downregulated in Tumor"
0,-5.34825757668985,0.035,0.616,0,"EFEMP1","Downregulated in Tumor"
0,-3.60636376200373,0.202,0.78,0,"RAMP1","Downregulated in Tumor"
0,-2.44669671881797,0.305,0.883,0,"CD151","Downregulated in Tumor"
0,-3.37590355228703,0.383,0.938,0,"PCSK1N","Downregulated in Tumor"
0,-2.47534510534835,0.327,0.881,0,"FLNA","Downregulated in Tumor"
0,-4.05465886207575,0.293,0.826,0,"ID3","Downregulated in Tumor"
0,-4.70076552056877,0.374,0.906,0,"GFAP","Downregulated in Tumor"
0,-2.76575495769064,0.325,0.854,0,"SCRG1","Downregulated in Tumor"
0,-6.35844850139889,0.407,0.934,0,"CHI3L1","Downregulated in Tumor"
0,-2.47131867678692,0.428,0.92,0,"RHOC","Downregulated in Tumor"
0,-3.95762928249995,0.466,0.914,0,"PMP2","Downregulated in Tumor"
0,-2.30749568395497,0.498,0.939,0,"METRN","Downregulated in Tumor"
0,-3.00369641471894,0.571,0.979,0,"S100A10","Downregulated in Tumor"
0,-2.84701858486565,0.62,0.973,0,"CD99","Downregulated in Tumor"
0,-2.10045771917913,0.656,0.985,0,"SRI","Downregulated in Tumor"
0,-1.93559205007261,0.666,0.958,0,"PRDX2","Downregulated in Tumor"
0,-3.60130802877822,0.725,0.991,0,"CLU","Downregulated in Tumor"
0,-4.6851019129162,0.908,1,0,"SEC61G","Downregulated in Tumor"
7.04345141319446e-308,-3.07459448521659,0.183,0.765,1.53265502751111e-303,"PDPN","Downregulated in Tumor"
5.71547854531345e-307,-3.41571604312555,0.165,0.747,1.24368813146021e-302,"OCIAD2","Downregulated in Tumor"
3.4314050187563e-304,-4.8265363563476,0.031,0.602,7.46673732081371e-300,"GJA1","Downregulated in Tumor"
9.92373302905856e-304,-2.60658980655071,0.065,0.677,2.15940430712314e-299,"COL6A1","Downregulated in Tumor"
2.29212083164898e-303,-1.8103475130092,0.52,0.956,4.98765492966817e-299,"PTMS","Downregulated in Tumor"
3.37412376516595e-302,-3.80466489047612,0.29,0.795,7.34209331300112e-298,"C1orf61","Downregulated in Tumor"
7.74912996115462e-300,-3.16839510199789,0.16,0.74,1.68621067954724e-295,"GPC1","Downregulated in Tumor"
8.62117724729469e-300,-2.07107139518713,0.152,0.778,1.87596816901132e-295,"VCAN","Downregulated in Tumor"
8.37042029456696e-299,-1.17249990040618,0.952,0.997,1.82140345609777e-294,"NDUFA4","Downregulated in Tumor"
7.17368865641236e-294,-3.20305365709087,0.102,0.688,1.56099465163533e-289,"IGFBP5","Downregulated in Tumor"
2.71604248401434e-292,-2.40103867711409,0.299,0.849,5.91010844521521e-288,"SOX2","Downregulated in Tumor"
5.90638534251848e-291,-3.63960647990923,0.101,0.676,1.28522945053202e-286,"PLOD2","Downregulated in Tumor"
1.36210412396743e-290,-1.66622422017292,0.904,0.983,2.96393857375313e-286,"DBI","Downregulated in Tumor"
3.81572262570073e-290,-2.82168614765259,0.192,0.76,8.30301243352479e-286,"NPDC1","Downregulated in Tumor"
2.63651394148644e-288,-4.90369862865683,0.032,0.58,5.7370543366745e-284,"ATP1B2","Downregulated in Tumor"
1.36809109443733e-287,-4.16662748700179,0.068,0.622,2.97696622149563e-283,"WLS","Downregulated in Tumor"
3.00932377489844e-287,-4.62996589886771,0.059,0.611,6.54828853417901e-283,"FXYD6","Downregulated in Tumor"
3.58972797692721e-287,-3.12495711360962,0.112,0.683,7.81124807779361e-283,"CD320","Downregulated in Tumor"
2.24029554840055e-286,-1.55875025665997,0.631,0.959,4.8748831133196e-282,"CAPZA2","Downregulated in Tumor"
4.57891615655572e-284,-2.35753973418999,0.058,0.635,9.96372155666525e-280,"TIMP3","Downregulated in Tumor"
1.22711116416713e-281,-4.3349430880314,0.084,0.628,2.67019389322767e-277,"MAOB","Downregulated in Tumor"
5.95482223466845e-281,-1.88692523278158,0.474,0.925,1.29576931826385e-276,"PPP1R14B","Downregulated in Tumor"
5.85248822918321e-280,-3.21072330649574,0.075,0.64,1.27350143867027e-275,"EFEMP2","Downregulated in Tumor"
1.00585118350677e-278,-3.64375436351079,0.088,0.644,2.18873217531074e-274,"CCND2","Downregulated in Tumor"
3.91888620587879e-278,-1.78039788236102,0.72,0.958,8.52749638399225e-274,"PPP1CB","Downregulated in Tumor"
1.4903536157312e-276,-3.56380745508113,0.059,0.613,3.2430094678311e-272,"PRRX1","Downregulated in Tumor"
1.87834925743583e-275,-2.43658126845369,0.219,0.774,4.08728798418037e-271,"FERMT2","Downregulated in Tumor"
5.83689924776754e-272,-1.95547304498447,0.457,0.913,1.27010927631422e-267,"CALU","Downregulated in Tumor"
2.68086399205631e-271,-5.35299187177436,0.018,0.535,5.83356004671453e-267,"DOK5","Downregulated in Tumor"
3.72889753337091e-269,-2.28118329990925,0.312,0.841,8.1140810326151e-265,"S100A16","Downregulated in Tumor"
7.22150558247904e-269,-3.59989996797041,0.153,0.683,1.57139961474744e-264,"AGT","Downregulated in Tumor"
6.85240659652465e-268,-3.29167572389732,0.056,0.601,1.49108367540376e-263,"NR2F1","Downregulated in Tumor"
6.44770881407442e-266,-2.08522969488789,0.364,0.835,1.40302143794259e-261,"STMP1","Downregulated in Tumor"
6.92866214450266e-265,-4.44624822254323,0.048,0.575,1.50767688264378e-260,"HOPX","Downregulated in Tumor"
1.20989094416631e-264,-1.57145889373084,0.761,0.981,2.6327226945059e-260,"S100A6","Downregulated in Tumor"
8.98781264019276e-264,-2.34645123441564,0.505,0.905,1.95574803050595e-259,"PTN","Downregulated in Tumor"
1.15638247765056e-263,-2.43442540474803,0.248,0.785,2.51628827136761e-259,"PFN2","Downregulated in Tumor"
2.43251441115628e-263,-1.02201118214078,0.988,0.999,5.29315135867606e-259,"RPS5","Downregulated in Tumor"
8.02485499764562e-263,-3.05673193252716,0.198,0.714,1.74620844748769e-258,"RNF19A","Downregulated in Tumor"
1.26546982186816e-261,-1.49826111938456,0.712,0.965,2.75366233238511e-257,"LDHB","Downregulated in Tumor"
1.02237317994903e-260,-2.07014891879144,0.319,0.847,2.22468403956909e-256,"BAALC","Downregulated in Tumor"
1.06614705335992e-259,-1.36876217036093,0.792,0.992,2.31993598811118e-255,"VIM","Downregulated in Tumor"
1.57257139858762e-259,-4.56306632428863,0.046,0.564,3.42191536332666e-255,"SCG2","Downregulated in Tumor"
1.82129345694194e-259,-3.84992773269162,0.074,0.609,3.96313456230566e-255,"NNMT","Downregulated in Tumor"
5.16253510926709e-259,-2.70067513017703,0.212,0.734,1.12336763977652e-254,"TPST1","Downregulated in Tumor"
9.95602768343897e-258,-1.36203081501891,0.717,0.972,2.16643162391632e-253,"PHPT1","Downregulated in Tumor"
2.18463342069034e-257,-3.4833576962743,0.095,0.62,4.75376232342217e-253,"NES","Downregulated in Tumor"
6.56753432700324e-257,-2.17441190113819,0.31,0.808,1.42909546955591e-252,"FAM20C","Downregulated in Tumor"
9.24926518181577e-257,-2.17507431511209,0.36,0.856,2.01264010356311e-252,"TUBB3","Downregulated in Tumor"
3.81922125639899e-255,-1.48960985120474,0.606,0.942,8.3106254539242e-251,"SSBP1","Downregulated in Tumor"
2.78906786120794e-253,-2.63875799708667,0.188,0.711,6.06901166598848e-249,"LTBP3","Downregulated in Tumor"
8.10448236188541e-253,-2.79942725141504,0.475,0.883,1.76353536194627e-248,"MT3","Downregulated in Tumor"
1.81277714813012e-252,-2.81006548853759,0.164,0.707,3.94460307433113e-248,"SOX4","Downregulated in Tumor"
2.50129390626038e-252,-4.12435783446392,0.05,0.556,5.44281554002258e-248,"CFI","Downregulated in Tumor"
5.4342693379154e-250,-3.20756736451357,0.084,0.609,1.18249700793039e-245,"PALLD","Downregulated in Tumor"
9.07624697271343e-250,-4.27548399903295,0.038,0.537,1.97499134126244e-245,"GLIS3","Downregulated in Tumor"
1.29321005693617e-249,-1.00013062351447,0.981,1,2.8140250838931e-245,"RPL36","Downregulated in Tumor"
5.5586080910053e-249,-3.47882106555874,0.186,0.7,1.20955312060275e-244,"CAV1","Downregulated in Tumor"
9.7831975721812e-248,-1.5701532436838,0.533,0.92,2.12882379170663e-243,"DYNLT1","Downregulated in Tumor"
1.80870649622014e-247,-1.68106059349555,0.519,0.916,3.93574533577502e-243,"ZNF428","Downregulated in Tumor"
4.06719782807635e-247,-2.45991793696842,0.055,0.572,8.85022247389414e-243,"THY1","Downregulated in Tumor"
9.49261532251423e-247,-1.94521039605008,0.507,0.883,2.0655930941791e-242,"PON2","Downregulated in Tumor"
1.0334643849889e-245,-5.57873112073949,0.014,0.491,2.24881850173584e-241,"FOXG1","Downregulated in Tumor"
1.67374766536654e-245,-3.48606639121862,0.039,0.54,3.64207491983758e-241,"RARRES2","Downregulated in Tumor"
6.01954616563285e-244,-6.7843492849512,0.007,0.474,1.30985324564171e-239,"RFX4","Downregulated in Tumor"
2.00074561248437e-242,-5.62296096546337,0.015,0.487,4.35362245276598e-238,"MLC1","Downregulated in Tumor"
9.31897736129421e-242,-6.84451225843312,0.024,0.498,2.02780947381762e-237,"CA3","Downregulated in Tumor"
5.29710044840281e-240,-7.83395165965678,0.025,0.495,1.15264905757245e-235,"HP","Downregulated in Tumor"
7.0132132655317e-240,-5.41979023070015,0.029,0.508,1.5260752065797e-235,"NRN1","Downregulated in Tumor"
1.30988375346103e-239,-6.50038977180645,0.007,0.47,2.85030704753119e-235,"BBOX1","Downregulated in Tumor"
4.03903856668621e-238,-5.23502561023971,0.018,0.486,8.78894792110918e-234,"CTXN1","Downregulated in Tumor"
6.37918547847254e-237,-2.65453104446424,0.159,0.679,1.38811076011563e-232,"PGM2L1","Downregulated in Tumor"
7.20772392186214e-237,-7.07903046108242,0.098,0.577,1.5684007253972e-232,"LTF","Downregulated in Tumor"
3.2502249913666e-236,-2.30659646086785,0.24,0.762,7.07248958121372e-232,"MDK","Downregulated in Tumor"
1.05610414760038e-235,-1.21025858546309,0.058,0.589,2.29808262517842e-231,"BGN","Downregulated in Tumor"
9.73733731978647e-235,-3.1884595494334,0.086,0.586,2.11884460078554e-230,"GOLM1","Downregulated in Tumor"
1.24380853984102e-230,-3.47150647369598,0.183,0.667,2.70652738269407e-226,"TAGLN","Downregulated in Tumor"
1.61044486860132e-230,-1.32800229656716,0.848,0.986,3.50432803407648e-226,"PKM","Downregulated in Tumor"
2.86534412621771e-229,-5.86715734259822,0.013,0.463,6.23498881864973e-225,"C21orf62","Downregulated in Tumor"
6.58206998885889e-229,-3.4862200637285,0.412,0.819,1.43225842957569e-224,"SERPINA3","Downregulated in Tumor"
1.03430033716344e-227,-6.56100521777491,0.007,0.451,2.25063753366766e-223,"CRISPLD1","Downregulated in Tumor"
3.87048558456498e-227,-3.65180318727548,0.064,0.546,8.42217663201339e-223,"EMILIN1","Downregulated in Tumor"
1.24135073131395e-226,-2.87140223808653,0.131,0.621,2.70117919133916e-222,"TRIP6","Downregulated in Tumor"
8.89513007527504e-226,-3.49094339141084,0.054,0.534,1.93558030437985e-221,"CDH11","Downregulated in Tumor"
1.19015383528573e-225,-3.63208884103479,0.066,0.547,2.58977474558176e-221,"CSRP2","Downregulated in Tumor"
2.04809428992379e-225,-2.58058644260321,0.188,0.676,4.45665317487417e-221,"SLC16A1","Downregulated in Tumor"
2.53932918172606e-224,-2.58330112513187,0.145,0.645,5.5255802994359e-220,"WWTR1","Downregulated in Tumor"
5.68368811081402e-223,-2.26537050487267,0.21,0.705,1.23677053291313e-218,"ADH5","Downregulated in Tumor"
8.83970038514852e-223,-5.4302085960294,0.014,0.457,1.92351880380832e-218,"CRMP1","Downregulated in Tumor"
9.63100545387158e-223,-1.57703865355471,0.54,0.919,2.09570678676246e-218,"EMP3","Downregulated in Tumor"
1.1871994521171e-221,-2.12783500400473,0.238,0.732,2.58334600780681e-217,"MYL6B","Downregulated in Tumor"
2.26652968293363e-221,-4.14465968727979,0.03,0.483,4.93196859006359e-217,"JAM2","Downregulated in Tumor"
4.81359397995455e-221,-2.95153149434066,0.124,0.612,1.04743805003811e-216,"CHPF","Downregulated in Tumor"
3.72235644545875e-220,-2.49691547413256,0.197,0.693,8.09984762531823e-216,"PLP2","Downregulated in Tumor"
2.26826059346041e-219,-2.67500546676789,0.138,0.629,4.93573505136986e-215,"NFIB","Downregulated in Tumor"
4.45308818305999e-218,-4.01430790895727,0.042,0.497,9.68991988633854e-214,"FNDC4","Downregulated in Tumor"
4.83184864553132e-218,-4.59347385331931,0.051,0.511,1.05141026526762e-213,"PTX3","Downregulated in Tumor"
4.41532435144721e-217,-3.0665365596962,0.1,0.577,9.60774578874914e-213,"ABCC3","Downregulated in Tumor"
7.62253265681676e-217,-1.1745281965831,0.926,0.989,1.65866310612333e-212,"TPI1","Downregulated in Tumor"
1.02709253330353e-216,-2.93282382629518,0.193,0.662,2.23495335246848e-212,"SERPING1","Downregulated in Tumor"
2.89178757402457e-216,-4.26118861628472,0.029,0.474,6.29252976107747e-212,"FZD3","Downregulated in Tumor"
2.51438059148589e-215,-1.29800515464598,0.651,0.939,5.4712921670733e-211,"GADD45GIP1","Downregulated in Tumor"
2.3459164781436e-214,-4.93378149258217,0.024,0.46,5.10471425644048e-210,"DCLK2","Downregulated in Tumor"
