"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
0,3.5233372538511,0.757,0.188,0,"RGCC","Upregulated in Tumor"
0,3.24721162668215,0.769,0.215,0,"BIN1","Upregulated in Tumor"
0,2.76144194015095,0.912,0.448,0,"SGK1","Upregulated in Tumor"
0,3.94412267794523,0.897,0.462,0,"GSN","Upregulated in Tumor"
0,4.10732594087761,0.949,0.544,0,"SPP1","Upregulated in Tumor"
0,2.26438206042553,0.971,0.6,0,"HLA-E","Upregulated in Tumor"
0,2.20031385256397,0.99,0.884,0,"HSPA1A","Upregulated in Tumor"
0,1.36618916038875,1,0.996,0,"B2M","Upregulated in Tumor"
8.10621749421605e-300,2.46096031362819,0.837,0.365,1.76391292674141e-295,"GSTO1","Upregulated in Tumor"
2.48513579696069e-289,1.52269632112333,0.999,0.976,5.40765549418647e-285,"NEAT1","Upregulated in Tumor"
2.21893135623929e-288,1.49269350035987,0.976,0.888,4.82839463117669e-284,"PSAP","Upregulated in Tumor"
3.04473368464013e-287,1.26005765326952,0.999,0.942,6.62534049777692e-283,"HLA-C","Upregulated in Tumor"
1.51578251047149e-271,5.49353328297382,0.577,0.061,3.29834274278596e-267,"RNASE1","Upregulated in Tumor"
1.12736036970092e-268,1.56677408359859,0.981,0.899,2.4531361644692e-264,"CTSD","Upregulated in Tumor"
2.88415720786303e-264,4.13155374598004,0.592,0.068,6.27592608430994e-260,"ACSL1","Upregulated in Tumor"
3.35438069083989e-264,1.35404756347873,0.999,0.998,7.29913238326761e-260,"HSP90AA1","Upregulated in Tumor"
2.40599641433257e-255,4.56878746765455,0.533,0.031,5.23544819758767e-251,"DNAJA4","Upregulated in Tumor"
2.47150710760699e-250,3.60153794354209,0.625,0.124,5.3779994661528e-246,"FAM107B","Upregulated in Tumor"
5.34110083644342e-244,1.07932219586146,0.999,0.955,1.16222354201009e-239,"HLA-B","Upregulated in Tumor"
9.5820432787268e-243,5.24665135675632,0.491,0.019,2.08505261745095e-238,"CD55","Upregulated in Tumor"
1.64441605741142e-242,5.14213952656272,0.502,0.027,3.57824934092726e-238,"EVI2A","Upregulated in Tumor"
1.05163665446615e-240,2.72058634164963,0.753,0.295,2.28836136011834e-236,"KLF4","Upregulated in Tumor"
1.50740748360622e-237,4.70616975143291,0.493,0.024,3.28011868432714e-233,"SNHG15","Upregulated in Tumor"
3.16033007564909e-222,3.91081192565271,0.638,0.187,6.87687824461241e-218,"OTUD1","Upregulated in Tumor"
1.35486827797669e-219,4.42187169624476,0.577,0.129,2.94819337287728e-215,"IFI30","Upregulated in Tumor"
4.33566059561075e-218,5.82307634541307,0.46,0.026,9.434397456049e-214,"ENPP2","Upregulated in Tumor"
1.41129820755651e-217,4.80630361285204,0.579,0.144,3.07098489964296e-213,"CYBA","Upregulated in Tumor"
7.72878489809094e-216,2.2486942144429,0.77,0.384,1.68178359382459e-211,"PIM3","Upregulated in Tumor"
1.2703348012435e-215,5.40562522742473,0.462,0.029,2.76424852750586e-211,"PLEK","Upregulated in Tumor"
9.42450990655543e-215,6.09035095913299,0.44,0.016,2.05077335566646e-210,"EDIL3","Upregulated in Tumor"
1.2858495563743e-213,4.58102893847717,0.46,0.026,2.79800863467048e-209,"RASGRP3","Upregulated in Tumor"
3.15217997739947e-213,4.84215024877894,0.477,0.043,6.85914363082125e-209,"VAMP8","Upregulated in Tumor"
5.27083801584237e-213,4.71321778804954,0.49,0.052,1.1469343522473e-208,"MS4A7","Upregulated in Tumor"
1.24385906362649e-211,5.503696108074,0.458,0.031,2.70663732245125e-207,"VSIG4","Upregulated in Tumor"
3.73490479191812e-209,5.17417342571797,0.448,0.024,8.12715282721382e-205,"CD163","Upregulated in Tumor"
