"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","30/686","78/9382",0.384615384615385,5.26014801525006,10.6111877624682,5.39322180773048e-15,7.00356643870158e-13,4.9910999791989e-13,"CYBA/ITGB2/FCGR3A/FCGR2A/FCGR1A/CYBB/IL1B/NCF4/NFKB1/HLA-DQB1/HLA-DMB/TLR2/NCF1/PRKCB/ITGAM/HLA-DPB1/PTPN6/IL10/MAPK13/TLR4/HLA-DMA/HLA-DQA1/HLA-DRB5/IL1A/HLA-DRB1/ITGA4/TNF/NCF2/HLA-DRA/HLA-DPA1",30
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","47/686","181/9382",0.259668508287293,3.5513264500749,9.7345227374404,5.63524436167015e-15,7.00356643870158e-13,4.9910999791989e-13,"CTSD/ITGB2/FCGR3A/ATP6V0B/CD14/FCER1G/ATP6V0C/CTSS/IL18/FCGR2A/CORO1A/FCGR1A/IL1B/HSPD1/CLEC7A/ITGAX/NFKB1/IL10RA/HLA-DQB1/TCIRG1/ATP6V0D1/HLA-DMB/TLR2/ITGAM/HLA-DPB1/CD74/IRAK2/LSP1/FCGR2B/IL10/MRC1/SYK/MAPK13/TLR4/HLA-DMA/BCL2/HLA-DQA1/HLA-DRB5/PLK3/IL1A/HLA-DRB1/TNF/HLA-DRA/CEBPB/RIPK2/HLA-DPA1/SPHK1",47
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","43/686","155/9382",0.27741935483871,3.79409385874165,9.85152445713254,6.52506189941141e-15,7.00356643870158e-13,4.9910999791989e-13,"HLA-E/HLA-C/HLA-B/CYBA/ITGB2/OLR1/FCGR3A/ATP6V0B/CD14/MSR1/ATP6V0C/CTSS/FCGR2A/CORO1A/FCGR1A/CYBB/CLEC7A/NCF4/HLA-F/CTSL/HLA-DQB1/TUBB4A/TCIRG1/ATP6V0D1/HLA-DMB/TLR2/NCF1/ITGAM/HLA-DPB1/FCGR2B/MRC1/TLR4/ATP6V1B2/HLA-DMA/DYNC1I1/HLA-DQA1/HLA-DRB5/HLA-DRB1/NCF2/HLA-DRA/TFRC/HLA-DPA1/ITGB5",43
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","27/686","82/9382",0.329268292682927,4.50319988622627,8.94864398377155,9.461604515632e-12,7.61659163508376e-10,5.42797311686257e-10,"HLA-E/HSPA1A/B2M/HLA-C/HSP90AA1/HLA-B/IFI30/HSP90AB1/CTSS/HSPA6/LGMN/CD4/HLA-F/CTSL/HLA-DQB1/CTSB/HLA-DMB/HLA-DPB1/CD74/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1/HSPA2",27
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","29/686","95/9382",0.305263157894737,4.17489642473531,8.73535384920766,1.34960167369988e-11,8.69143477862721e-10,6.19396136561207e-10,"ITGB2/ATP6V0B/CCL3/ATP6V0C/IL18/CCL3L1/IL1B/CD86/CCL20/CTSL/HLA-DQB1/CXCL8/TNFSF13/TCIRG1/ATP6V0D1/HLA-DMB/TLR2/HLA-DPB1/FLT1/TLR4/ATP6V1B2/HLA-DMA/HLA-DQA1/HLA-DRB5/IL1A/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1",29
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","36/686","157/9382",0.229299363057325,3.13598633265863,7.58039730550249,4.24111522289243e-10,1.951332410942e-08,1.39061937098842e-08,"SGK1/STAB1/C1QA/C1QC/C1QB/HAVCR2/DUSP2/LIPA/PTGER4/ATP8A1/ALOX5/SIGLEC10/PTPN6/IL10/MAPK13/PPARG/PECAM1/CH25H/GAS6/DOCK1/DUSP4/DUSP16/MERTK/TYRO3/PPARD/ELMO1/CEBPB/NFATC1/ATP11A/SPHK1/SIRT1/ARG2/ITGB5/PTK2/MEGF10/VPS18",36
"Human Diseases","Immune disease","hsa05330","Allograft rejection","17/686","39/9382",0.435897435897436,5.96150108395006,8.72025289340938,4.4598817541283e-10,1.951332410942e-08,1.39061937098842e-08,"HLA-E/HLA-C/HLA-B/CD86/HLA-F/HLA-DQB1/HLA-DMB/CD40/HLA-DPB1/IL10/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1",17
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","18/686","44/9382",0.409090909090909,5.59488470712961,8.58026858198607,4.84803083463851e-10,1.951332410942e-08,1.39061937098842e-08,"HLA-E/HLA-C/HLA-B/IL1B/HSPD1/CD86/HLA-F/HLA-DQB1/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DQA1/HLA-DRB5/IL1A/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1",18
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","47/686","250/9382",0.188,2.57116034985423,7.07187252845067,1.21476442469045e-09,4.34615716389249e-08,3.09729408868442e-08,"PSAP/CTSD/VAMP8/LAPTM5/LITAF/ATP6V0B/ATP6V0C/SLC11A1/CTSZ/NPC2/CTSS/LIPA/LGMN/GLA/CTSC/ABCA2/CD68/TPP1/CTSL/CTSB/TCIRG1/SLC15A3/NEU1/ATP6V0D1/AP1B1/CLN8/NPC1/HEXA/DMXL2/ROGDI/MAN2B1/GAA/ATP6V1B2/MITF/MANBA/VPS26A/GM2A/SLC11A2/CLN6/TPCN1/OSBPL1A/SLC29A1/NAGA/FUCA1/GGA2/AP5B1/VPS18",47
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","27/686","100/9382",0.27,3.69262390670554,7.60294371950017,1.48821955821389e-09,4.79206697744872e-08,3.41507224937503e-08,"CD55/CD14/CD37/CSF1R/FCGR1A/IL1B/CD4/HLA-DQB1/CSF2RA/CSF3R/HLA-DMB/IL4R/ITGAM/IL6R/HLA-DPB1/CD33/HLA-DMA/CD22/HLA-DQA1/HLA-DRB5/IL1A/HLA-DRB1/ITGA4/TNF/HLA-DRA/TFRC/HLA-DPA1",27
