"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor","Astrocyte","HBEGF","EGFR",0.0273967507926303,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Microglia_Macrophage","Astrocyte","HBEGF","EGFR",0.0077961401569489,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor","T_cells","HBEGF","EGFR",0.00415277060793508,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor","OPC","HBEGF","EGFR",0.0164066828606678,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Microglia_Macrophage","OPC","HBEGF","EGFR",0.0046313176484453,0,"HBEGF_EGFR","HBEGF - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Microglia_Macrophage","Astrocyte","EREG","EGFR",0.017917421054789,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Microglia_Macrophage","T_cells","EREG","EGFR",0.002693630151676,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Microglia_Macrophage","OPC","EREG","EGFR",0.0106881508306745,0,"EREG_EGFR","EREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Tumor","Astrocyte","FGF1","FGFR1",0.00116186513699689,0,"FGF1_FGFR1","FGF1 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Tumor","Tumor","FGF1","FGFR2",0.002693630151676,0,"FGF1_FGFR2","FGF1 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"Astrocyte","Astrocyte","FGF2","FGFR1",0.00116186513699689,0,"FGF2_FGFR1","FGF2 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Astrocyte","Tumor","FGF2","FGFR2",0.002693630151676,0,"FGF2_FGFR2","FGF2 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"Tumor","OPC","PDGFA","PDGFRA",0.00092569736571738,0,"PDGFA_PDGFRA","PDGFA - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"Astrocyte","OPC","PDGFA","PDGFRA",0.000737335302806852,0,"PDGFA_PDGFRA","PDGFA - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"OPC","OPC","PDGFA","PDGFRA",0.000886692131028655,0,"PDGFA_PDGFRA","PDGFA - PDGFRA","PDGF","Secreted Signaling","PMID: 15207812"
"Astrocyte","Astrocyte","APLN","APLNR",0.00116186513699689,0,"APLN_APLNR","APLN - APLNR","APELIN","Secreted Signaling","KEGG: hsa04371"
