"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.65235604932639,0.94,0.129,0,"0","MS4A7"
0,3.63507280021578,0.891,0.092,0,"0","STAB1"
0,3.11290522565306,0.922,0.128,0,"0","FCGR3A"
0,4.04130214584326,0.893,0.1,0,"0","PLEK"
0,4.63484373651137,0.907,0.115,0,"0","GPR183"
0,3.46267551226774,0.883,0.091,0,"0","VSIG4"
0,3.67383898582663,0.867,0.091,0,"0","CD163"
0,3.493879917419,0.859,0.087,0,"0","MS4A6A"
0,3.53553504488913,0.962,0.192,0,"0","RGS1"
0,3.00669951416029,0.972,0.202,0,"0","AIF1"
0,4.26822305882702,0.869,0.101,0,"0","OLR1"
0,3.55456973999216,0.972,0.206,0,"0","C1QC"
0,3.22896815504283,0.894,0.131,0,"0","VAMP8"
0,3.38921982043798,0.838,0.08,0,"0","TREM2"
0,3.78013848153616,0.836,0.079,0,"0","MS4A4A"
0,3.40087999758811,0.968,0.216,0,"0","BCL2A1"
0,3.47317000914608,0.935,0.189,0,"0","CD14"
0,2.8913456095231,0.857,0.114,0,"0","ITGB2"
0,2.69210193897869,0.995,0.255,0,"0","LAPTM5"
0,3.63996527299427,0.978,0.239,0,"0","C1QA"
0,2.8188239899464,0.928,0.197,0,"0","TYMP"
0,3.64918921049765,0.972,0.241,0,"0","C1QB"
0,2.76922948704358,0.883,0.155,0,"0","CTSS"
0,3.34241898414829,0.819,0.092,0,"0","MSR1"
0,3.35494700950753,0.861,0.139,0,"0","FCGR2A"
0,2.83241575690644,0.993,0.273,0,"0","TYROBP"
0,3.14035392780209,0.991,0.272,0,"0","FCER1G"
0,3.16138124331955,0.996,0.282,0,"0","CYBA"
0,1.78880713450562,0.873,0.161,0,"0","S100A9"
0,2.62743900605652,0.971,0.26,0,"0","IFI30"
0,2.77927656478366,0.851,0.15,0,"0","MAP3K8"
0,2.65376758876567,0.862,0.161,0,"0","ALOX5AP"
0,3.57342733486178,0.799,0.1,0,"0","C5AR1"
0,3.47555603289384,0.789,0.093,0,"0","CFD"
0,2.54074510901193,0.818,0.122,0,"0","CD53"
0,3.01660256791216,0.8,0.106,0,"0","SPI1"
0,3.94999290587448,0.747,0.053,0,"0","FOLR2"
0,3.61829553521578,0.787,0.095,0,"0","SLC16A10"
0,2.70056396141282,0.915,0.223,0,"0","METRNL"
0,3.07075493208935,0.809,0.117,0,"0","SAMSN1"
0,4.01991063604781,0.815,0.134,0,"0","CCL3L1"
0,3.15395740518758,0.999,0.319,0,"0","SRGN"
0,2.83020525453485,0.84,0.16,0,"0","CTSC"
0,2.64104681595762,0.806,0.13,0,"0","SLC11A1"
0,4.73329358409826,0.78,0.105,0,"0","CCL4L2"
0,3.44310998633844,0.975,0.302,0,"0","CCL3"
0,2.88890269351299,0.748,0.076,0,"0","CSF1R"
0,2.80887131014352,0.893,0.224,0,"0","IL1B"
0,2.62785577489166,0.791,0.124,0,"0","CD37"
0,3.40130135226738,0.732,0.071,0,"0","LAIR1"
0,4.18594159452165,0.918,0.259,0,"0","CCL4"
0,2.82348941212484,0.782,0.126,0,"0","HCST"
0,3.20620881515591,0.748,0.097,0,"0","C1orf162"
0,4.0127881488188,0.775,0.124,0,"0","NR4A3"
0,3.45306754984489,0.978,0.328,0,"0","PLAUR"
0,3.01506007859806,0.817,0.168,0,"0","DSE"
0,2.45390701424065,0.937,0.29,0,"0","PLIN2"
0,2.63564938812962,0.843,0.199,0,"0","CXCL16"
0,3.17546908996645,0.734,0.091,0,"0","HAVCR2"
0,2.72592909343163,0.747,0.104,0,"0","RGS10"
0,3.12281803931525,0.715,0.073,0,"0","LY86"
0,2.74921639494107,0.753,0.111,0,"0","LST1"
0,3.185714787275,0.699,0.06,0,"0","SLCO2B1"
0,2.47363542039902,0.954,0.318,0,"0","RNASET2"
0,3.1169793647501,0.978,0.348,0,"0","HLA-DQB1"
0,3.21166495178047,0.82,0.19,0,"0","REL"
0,2.28284666546026,0.765,0.136,0,"0","ARHGDIB"
0,2.8669479438863,0.834,0.206,0,"0","ACSL1"
0,3.5451825987358,0.73,0.103,0,"0","DUSP2"
0,3.48156649943983,0.694,0.071,0,"0","IL18"
0,2.91688735419041,0.713,0.092,0,"0","PYCARD"
0,2.69316605249207,0.746,0.127,0,"0","ETS2"
0,3.26365505331202,0.686,0.072,0,"0","ENG"
0,2.32754859906768,0.957,0.343,0,"0","CD68"
0,2.52895935101745,0.726,0.116,0,"0","CORO1A"
0,2.32897404902273,0.712,0.103,0,"0","S100A8"
0,3.17119331266294,0.767,0.158,0,"0","NR4A2"
0,3.08093010065142,0.895,0.287,0,"0","CREM"
0,2.51592967779561,0.729,0.122,0,"0","GMFG"
0,1.66640139033059,0.706,0.102,0,"0","LYZ"
0,3.08195441201042,0.696,0.095,0,"0","SERPINB9"
0,2.76205097360061,0.8,0.204,0,"0","NR4A1"
0,2.87104251045669,0.734,0.138,0,"0","HLA-DMB"
0,2.7165423239056,0.882,0.287,0,"0","BASP1"
0,2.85102795274553,0.699,0.105,0,"0","TNFRSF1B"
0,3.14242342923539,0.667,0.076,0,"0","LTC4S"
0,3.11300705186523,0.711,0.124,0,"0","RILPL2"
0,2.74159673091048,0.892,0.306,0,"0","OTUD1"
0,3.19156782458557,0.976,0.39,0,"0","CD83"
0,2.90547523699003,0.906,0.321,0,"0","HLA-DQA1"
0,2.94117707493655,0.833,0.249,0,"0","NFKB1"
0,3.29294203375851,0.781,0.199,0,"0","G0S2"
0,2.88604250963354,0.717,0.135,0,"0","RASGEF1B"
0,3.46620380854407,0.632,0.052,0,"0","FCGR1A"
0,2.59917321944808,0.854,0.276,0,"0","ABL2"
0,3.2269031195303,0.991,0.415,0,"0","CTSZ"
0,3.36692143895606,0.643,0.069,0,"0","LCP2"
0,2.86292289665973,0.657,0.084,0,"0","SERPINA1"
0,2.42975108901751,0.927,0.362,0,"0","NINJ1"
0,2.65107276414841,0.977,0.413,0,"0","HLA-DRB5"
0,3.02117378356144,0.987,0.424,0,"0","HLA-DPB1"
0,3.1815867851871,0.626,0.063,0,"0","CYBB"
0,3.87819622048877,0.644,0.082,0,"0","GRASP"
0,2.67784034246142,0.937,0.376,0,"0","HLA-DMA"
0,3.20644526862854,0.929,0.39,0,"0","APOC1"
0,2.85681254241219,0.613,0.076,0,"0","THBD"
0,3.4874040529153,0.608,0.072,0,"0","PTGER4"
0,3.29228663969159,0.598,0.062,0,"0","SCIN"
0,3.42274652307481,0.596,0.073,0,"0","STX11"
0,3.22342334872439,0.584,0.064,0,"0","TMIGD3"
0,3.30146166795884,0.579,0.059,0,"0","NCF4"
0,3.52015380424428,0.574,0.055,0,"0","GPR84"
0,3.1760955346233,0.585,0.066,0,"0","HAMP"
0,3.62160703959196,0.567,0.049,0,"0","FPR1"
0,3.24823555741188,0.575,0.059,0,"0","LGALS9"
0,3.71422559547932,0.522,0.042,0,"0","RNASE2"
0,2.50319173189506,0.987,0.533,0,"0","HLA-DPA1"
0,2.88105717054125,0.998,0.587,0,"0","HLA-DRB1"
0,2.25968105637904,0.99,0.601,0,"0","FCGRT"
0,2.64448049351575,0.998,0.625,0,"0","CD74"
0,2.93986744698255,0.941,0.583,0,"0","PLTP"
0,2.90354343719739,0.999,0.649,0,"0","HLA-DRA"
0,2.54677801658385,0.985,0.682,0,"0","CTSB"
0,2.04886790445759,0.99,0.741,0,"0","NPC2"
0,2.27118361093519,1,0.862,0,"0","SAT1"
0,1.75139990111038,1,1,0,"0","FTL"
4.51001189865127e-308,1.70127472602423,0.948,0.388,9.81378589146516e-304,"0","CXCL8"
1.11195810119179e-307,3.25784544817653,0.574,0.065,2.41962082819333e-303,"0","CD86"
1.73913545215834e-305,2.09398686343136,0.947,0.438,3.78435874389655e-301,"0","HMOX1"
3.76034755341121e-304,2.90833848790592,0.765,0.199,8.1825162762228e-300,"0","CCL20"
1.12002882917617e-303,2.99788114999013,0.654,0.105,2.43718273228734e-299,"0","CPVL"
5.97505557167638e-303,2.97905016624389,0.596,0.074,1.30017209239678e-298,"0","KYNU"
6.62592415580749e-302,3.07859953938834,0.643,0.105,1.44180109630371e-297,"0","RAB20"
5.76715835753151e-299,2.9921629905174,0.583,0.071,1.25493365859886e-294,"0","TBXAS1"
1.79661410851473e-296,2.50736973713396,0.802,0.227,3.90943230012805e-292,"0","LY96"
7.78273564322941e-296,3.27870910893524,0.538,0.055,1.69352327596672e-291,"0","CD4"
8.1104048720161e-296,2.66113739796674,0.631,0.088,1.7648241001507e-291,"0","HCLS1"
3.15349449767029e-295,2.92274539259598,0.566,0.063,6.86200402693056e-291,"0","LILRB4"
8.50254688872019e-295,3.18362742972773,0.545,0.057,1.85015420298551e-290,"0","RNASE6"
4.63966694809377e-294,3.14327001917586,0.567,0.067,1.0095915279052e-289,"0","C3AR1"
4.23532721052697e-291,2.35634520799657,0.889,0.312,9.21607201010669e-287,"0","IER3"
1.17611617054568e-290,3.84296631861698,0.479,0.038,2.55922878710741e-286,"0","CCRL2"
1.72809812587842e-290,3.03809100727549,0.554,0.063,3.76034152191143e-286,"0","ITGAX"
1.7635326186655e-290,3.4890681632173,0.554,0.067,3.83744697821614e-286,"0","VMO1"
6.27451073401206e-290,3.07894401839178,0.556,0.064,1.36533353572102e-285,"0","CLEC7A"
6.46622354237459e-290,1.72966073259773,0.997,0.695,1.40705024282071e-285,"0","S100A11"
3.63897153395161e-289,2.2653091306756,0.941,0.604,7.9184020578787e-285,"0","CTSL"
4.52362613440136e-289,3.01003039778559,0.56,0.065,9.84341046845736e-285,"0","ARHGAP4"
